PAN Card Number,Age,Occupation,Annual Income,Property Tax Paid,School Fees,Grocery Expenses,Healthcare Costs,Lifestyle Expenditure,Bank Balance,Loan Amount,Income Declared,Estimated Actual Income,Fraud Flag,Total Expenses
ABC669,1.0425196602320863,3,-0.050387415947233186,-1.5330109323686532,1.2210618343529744,-1.4388368331440904,0.18484776473317716,0.09975630425791994,-0.8496166715424351,-0.528794342411704,1.0658017383062586,-0.3952218763750516,1,-1.107703237386514
ABC416,0.10285100548340154,0,0.423662783599012,1.07279185619444,-0.300133432277541,-1.7577083989724325,-0.653261337419036,1.1026138248515174,0.6042792008791376,-1.649353830465876,-0.20616657259070467,0.6508360974795941,1,0.3783808802388202
ABC569,-0.7513932261063119,1,-1.1366612678633976,-1.001510847965299,0.05336154214476541,0.20636238452425495,-1.2646232092799408,-0.25271078041501976,-0.4135232412083168,1.2617808395349006,0.3521901250845997,-1.1455881592761998,0,-0.2606308991924404
ABC520,0.5299731212782582,0,1.165014277157127,-0.1484998959796299,-0.8701183386081881,-0.39717409863063785,1.5025486501996481,-0.7176027110612246,-1.1342688927820024,-0.9590961458213262,-1.1734528987248867,0.9273716900645883,1,-1.6437426048207149
ABC797,0.5299731212782582,2,1.2742556534812386,1.4515332143224644,-0.5823802934085165,1.6470245875209304,1.2642501459123674,1.1774308911571638,-0.04148660483874821,0.2812332875139983,-1.4815571546191055,1.170221219016464,1,0.9853572417101504
ABC593,0.7862463907551722,0,-1.2727479836806261,0.9851306516425531,1.6094258276115008,-0.15632180643994306,-0.07355851280635153,1.7475747932440022,-1.1415007064479337,-0.5509503322893796,-1.1020753976466555,-1.1706875211523762,1,0.04800690013117609
ABC453,0.7862463907551722,0,-0.3574708935099168,-1.6986508415613706,-1.4454571494058137,0.837779629129238,-0.3537838634493835,0.6457415664258244,-0.03480722138340903,-0.6177083017899154,-0.3160151215602678,-0.30848085614037635,1,-0.5289699391010416
ABC129,0.957095237073115,2,-0.07475273097149288,1.249324577787096,0.5154446815255357,0.9514113039468323,1.139325256770741,-0.48294012826102417,-0.6229696224150238,-0.31947243804382053,0.41966423999169516,-0.04969569855076693,1,-0.3010494171792686
ABC381,0.7862463907551722,4,-1.615273601973623,-0.3489795146737382,0.9053187504029533,-0.3779621453625085,0.8702233551608676,-1.282715638649481,-0.9209052791729161,0.47999919670455976,0.836818212336733,-1.5118693058171657,0,-1.021357307109468
ABC322,0.8716708139141436,0,0.4196234900144737,0.4145547640267209,0.5492154635480162,0.975074807362455,1.6574212867382399,-1.4997449048902947,0.5239759366303605,0.289585283698253,0.1737509112101511,0.21804363805294702,1,0.2511573574496634
