PAN Card Number,Age,Occupation,Annual Income,Property Tax Paid,School Fees,Grocery Expenses,Healthcare Costs,Lifestyle Expenditure,Bank Balance,Loan Amount,Income Declared,Estimated Actual Income,Fraud Flag,Total Expenses,Income_Ratio,PAN_Digits_Sum
ABC669,1.0425196602320863,3,-0.0503874159472331,-1.5330109323686532,1.2210618343529744,-1.4388368331440904,0.1848477647331771,0.0997563042579199,-0.8496166715424351,-0.528794342411704,1.0658017383062586,-0.3952218763750516,1,-1.107703237386514,-2.696717469391422,21
ABC416,0.1028510054834015,0,0.423662783599012,1.07279185619444,-0.300133432277541,-1.7577083989724325,-0.653261337419036,1.1026138248515174,0.6042792008791376,-1.649353830465876,-0.2061665725907046,0.6508360974795941,1,0.3783808802388202,-0.3167718775727073,11
ABC569,-0.7513932261063119,1,-1.1366612678633976,-1.001510847965299,0.0533615421447654,0.2063623845242549,-1.2646232092799408,-0.2527107804150197,-0.4135232412083168,1.2617808395349006,0.3521901250845997,-1.1455881592761998,0,-0.2606308991924404,-0.3074317085357436,20
ABC520,0.5299731212782582,0,1.165014277157127,-0.1484998959796299,-0.8701183386081881,-0.3971740986306378,1.502548650199648,-0.7176027110612246,-1.1342688927820024,-0.9590961458213262,-1.173452898724887,0.9273716900645884,1,-1.6437426048207149,-1.265353375886598,7
ABC797,0.5299731212782582,2,1.2742556534812386,1.4515332143224644,-0.5823802934085165,1.6470245875209304,1.2642501459123674,1.1774308911571638,-0.0414866048387482,0.2812332875139983,-1.4815571546191055,1.170221219016464,1,0.9853572417101504,-1.2660487867963204,23
ABC593,0.7862463907551722,0,-1.272747983680626,0.9851306516425532,1.6094258276115008,-0.156321806439943,-0.0735585128063515,1.7475747932440022,-1.1415007064479337,-0.5509503322893796,-1.1020753976466555,-1.1706875211523762,1,0.048006900131176,0.9413915991534771,17
ABC453,0.7862463907551722,0,-0.3574708935099168,-1.6986508415613706,-1.4454571494058135,0.837779629129238,-0.3537838634493835,0.6457415664258244,-0.034807221383409,-0.6177083017899154,-0.3160151215602678,-0.3084808561403763,1,-0.5289699391010416,1.024423769805874,12
ABC129,0.957095237073115,2,-0.0747527309714928,1.249324577787096,0.5154446815255357,0.9514113039468324,1.139325256770741,-0.4829401282610241,-0.6229696224150238,-0.3194724380438205,0.4196642399916951,-0.0496956985507669,1,-0.3010494171792686,-8.444679363204543,12
ABC381,0.7862463907551722,4,-1.615273601973623,-0.3489795146737382,0.9053187504029532,-0.3779621453625085,0.8702233551608676,-1.282715638649481,-0.920905279172916,0.4799991967045597,0.836818212336733,-1.5118693058171655,0,-1.021357307109468,-0.5534990419588105,12
ABC322,0.8716708139141436,0,0.4196234900144737,0.4145547640267209,0.5492154635480162,0.975074807362455,1.65742128673824,-1.4997449048902949,0.5239759366303605,0.289585283698253,0.1737509112101511,0.218043638052947,1,0.2511573574496634,0.7968630167873075,7
ABC889,-0.5805443797883691,0,-1.287105289514329,-1.5365554189432362,-0.9806284179906956,0.9650002465023384,-0.3139961419077011,0.1787077357455696,1.2279477981733449,-0.9799181363084613,-0.5213877000155521,-1.1593775866827285,1,0.2806778454015245,0.449713454878297,25
ABC644,-1.1785153419011685,1,0.3192148874050055,0.8986797595795483,1.3181185127671766,-1.215556449430343,-1.3484769019914435,-0.8822301439108665,0.7689034036355422,-0.056500558186801,-0.7554819385765879,0.2584791775497014,1,0.4708943769642268,-2.9227961251591372,14
ABC412,-1.6056374576960253,3,-1.0306217141744527,0.4337468620647079,-1.1464621768653154,-0.4018599408911572,-1.6210014033038274,1.0897126130185195,0.640463379672911,0.5495991649066823,1.7260005044791689,-1.1746618933385775,0,0.9584714423381714,-1.4693594082409522,7
ABC231,1.1279440833910577,0,1.5576400912501018,0.4838019285691878,-1.19533371507671,-1.6815634622389928,-0.188215602840447,-0.1212578922788004,0.8050875824293157,1.469536744618236,-0.6229029733918536,1.9839228990137088,1,0.882943703048217,-0.31397539375220923,6
ABC922,-1.093090918742197,2,-1.5230083632917464,-1.621363744057044,-0.6916548563755673,-1.492489727027037,0.7192011432876,0.4728454032121763,-0.351927272727313,-1.620759843529504,-0.4603768663964765,-1.4395499855442675,0,-1.2165238596404335,0.3198060998364127,13
ABC607,-1.6056374576960253,3,1.0164534084144514,1.3126066307772155,0.8450530052490144,-0.7141713275547722,-1.422490620558229,0.5731162117829264,0.0530040716365951,-1.3967059458921711,-1.1519570418568654,0.5900145318026833,1,0.0898425612177893,-1.9524214739885608,13
ABC338,1.469641776026943,0,0.9452221086046378,0.0352082496542554,-1.0454243900013087,0.6456600964479444,-1.595331905535,-1.1129077964151604,0.619822578168066,-1.3873679501583869,-0.5279962235797073,1.1683631287247933,1,-0.5939988435954051,-0.4519110630921633,14
ABC177,0.957095237073115,2,-0.4108191810582863,1.6712913819466229,-1.3011762880008255,1.0291962854714536,-0.0038230438677038,-0.2001097005090525,-0.4989490401371284,1.3255228104133443,-0.5014168870469513,-0.2172545252087422,1,0.2635523696322907,2.3079698181898887,15
ABC426,0.4445486981192869,0,0.5485199856365448,-0.5019975936252569,0.3777532410029829,1.0603571365039073,1.6013762166096337,-1.6475858188684298,1.5946107952217006,0.8464430292887347,1.7183480520552914,0.2860693547560947,1,1.0026823150990722,6.0067533396590855,12
ABC738,1.2987929297090002,3,-0.4567088875547937,-0.9225811835117756,0.4063073981602022,0.5636578568888557,-0.1325983576746544,1.3981462179216912,0.0975500349816014,-0.2256864808914604,1.21208794330126,-0.666169190131574,0,0.4480204897479774,-1.8194896450582805,18
ABC422,1.3842173528679715,0,0.4979848601722523,0.5870242936924156,-0.2184520692556877,0.0205687388946625,1.4289627565956764,-0.3847115964669262,-0.965225248340862,0.0244094048481663,0.1374584974608483,0.5677919136234291,1,-0.7408028928759587,0.24209308756026685,8
ABC210,-1.520213034537054,0,1.4086813081336915,1.2709373008028473,-1.2417342204571913,-0.5108057734482322,-1.0113508312941777,-0.0196421697331818,0.8478004818937215,-0.7970442198573844,-0.5993374140889046,1.885609232454533,1,0.4139292163052601,-0.31784815420570245,3
ABC311,1.5550661991859145,4,-1.0880555644205856,0.0426430263716738,-0.3554571117696534,0.8188019679741345,0.3602559994868307,-0.0865889987044129,-1.2793069335265104,-1.5303378848402465,0.2368405249064128,-0.8846783000849715,1,-1.5335048394670103,-0.267713726993942,5
ABC300,0.5299731212782582,4,1.175804234361186,0.8084250282657711,1.416959826003705,0.0519638820401422,1.0550437390964245,0.561659537182195,1.6962579539706215,-0.7683922329475106,-0.506318813866517,1.1515494303152505,1,1.755265140132828,-0.4396848285773596,3
ABC398,-0.2388466871524838,2,0.4317598784133786,1.178348395403369,0.7665290730666613,-0.0991545308616069,1.1354748321054169,0.1358199234358747,-0.0816382369631367,0.5352731714517454,-1.22607599089715,0.6863166169784725,1,0.6017705361936748,-1.7864582622157434,20
ABC867,0.6153975444372296,3,-0.6210614046411456,0.275541729589409,-0.3759117724255461,-0.3765563926843527,-1.265906684168382,-1.1206285988634794,0.7118273186957454,-1.5595118715116365,1.2646021037664217,-0.6983463802225035,0,-0.5020841397290626,-1.8108522354816254,21
ABC521,-0.7513932261063119,0,-0.5804833923428626,0.8847611659574045,1.664063109095026,-1.486163839975336,-0.6117623160260984,-1.0818751517357876,-0.2656728284826135,-0.8987181734059849,-0.7406036829149802,-0.7409683056891117,1,-0.6628999419117166,0.999507910431078,8
ABC888,-0.7513932261063119,4,-1.764024174080521,-0.7076642658431455,-1.0698601591070058,-0.5457152982891014,-0.7281307059114491,1.0987285178130084,-0.0321706226510383,1.817304585734841,-0.9827861007282992,-1.659879098334552,0,0.6406920720328426,0.5920829424952592,24
